533,ALAS1
534,ALAS2
535,ALB
536,ALCAM
537,ALDH1A1
538,ALDH1A2
539,ALDH1A3
540,ALDH1B1
541,ALDH1L1
542,ALDH1L2
543,ALDH2
544,ALDH3A1
545,ALDH3A2
546,ALDH3B1
547,ALDH3B2
548,ALDH4A1
549,ALDH5A1
550,ALDH6A1
551,ALDH7A1
552,ALDH8A1
553,ALDH9A1
554,ALDH16A1
555,ALDH18A1
556,ALDOA
557,ALDOB
558,ALDOC
559,ALG1
560,ALG1L
561,ALG1L2
562,ALG2
563,ALG3
564,ALG5
565,ALG6
566,ALG8
567,ALG9
568,ALG10
569,ALG10B
570,ALG11
571,ALG12
572,ALG13
573,ALG14
574,ALK
575,ALKAL1
576,ALKAL2
577,ALKBH1
578,ALKBH2
579,ALKBH3
580,ALKBH4
581,ALKBH5
582,ALKBH6
583,ALKBH7
584,ALKBH8
585,ALLC
586,ALMS1
587,ALOX5
588,ALOX5AP
589,ALOX12
590,ALOX12B
591,ALOX15
592,ALOX15B
593,ALOXE3
594,ALPI
595,ALPK1
596,ALPK2
597,ALPK3
598,ALPL
599,ALPP
600,ALPPL2
601,ALS2
602,ALS2CL
603,ALS2CR12
604,ALX1
605,ALX3
606,ALX4
607,ALYREF
608,AMACR
609,AMBN
610,AMBP
611,AMBRA1
612,AMD1
613,AMDHD1
614,AMDHD2
615,AMELX
616,AMELY
617,AMER1
618,AMER2
619,AMER3
620,AMFR
621,AMH
622,AMHR2
623,AMIGO1
624,AMIGO2
625,AMIGO3
626,AMMECR1
627,AMMECR1L
628,AMN
629,AMN1
630,AMOT
631,AMOTL1
632,AMOTL2
633,AMPD1
634,AMPD2
635,AMPD3
636,AMPH
637,AMT
638,AMTN
639,AMY1A
640,AMY1B
641,AMY1C
642,AMY2A
643,AMY2B
644,AMZ1
645,AMZ2
646,ANAPC1
647,ANAPC2
648,ANAPC4
649,ANAPC5
650,ANAPC7
651,ANAPC10
652,ANAPC11
653,ANAPC13
654,ANAPC15
655,ANAPC16
656,ANG
657,ANGEL1
658,ANGEL2
659,ANGPT1
660,ANGPT2
661,ANGPT4
662,ANGPTL1
663,ANGPTL2
664,ANGPTL3
665,ANGPTL4
666,ANGPTL5
667,ANGPTL6
668,ANGPTL7
669,ANGPTL8
670,ANHX
671,ANK1
672,ANK2
673,ANK3
674,ANKAR
675,ANKDD1A
676,ANKDD1B
677,ANKEF1
678,ANKFN1
679,ANKFY1
680,ANKH
681,ANKHD1
682,ANKIB1
683,ANKK1
684,ANKLE1
685,ANKLE2
686,ANKMY1
687,ANKMY2
688,ANKRA2
689,ANKRD1
690,ANKRD2
691,ANKRD6
692,ANKRD7
693,ANKRD9
694,ANKRD10
695,ANKRD11
696,ANKRD12
697,ANKRD13A
698,ANKRD13B
699,ANKRD13C
700,ANKRD13D
701,ANKRD16
702,ANKRD17
703,ANKRD18A
704,ANKRD18B
705,ANKRD20A1
706,ANKRD20A2
707,ANKRD20A3
708,ANKRD20A4
709,ANKRD22
710,ANKRD23
711,ANKRD24
712,ANKRD26
713,ANKRD27
714,ANKRD28
715,ANKRD29
716,ANKRD30A
717,ANKRD30B
718,ANKRD31
719,ANKRD33
720,ANKRD33B
721,ANKRD34A
722,ANKRD34B
723,ANKRD34C
724,ANKRD35
725,ANKRD36
726,ANKRD36B
727,ANKRD36C
728,ANKRD37
729,ANKRD39
730,ANKRD40
731,ANKRD42
732,ANKRD44
733,ANKRD45
734,ANKRD46
735,ANKRD49
736,ANKRD50
737,ANKRD52
738,ANKRD53
739,ANKRD54
740,ANKRD55
741,ANKRD60
742,ANKRD61
743,ANKRD62
744,ANKRD63
745,ANKRD65
746,ANKRD66
747,ANKS1A
748,ANKS1B
749,ANKS3
750,ANKS4B
751,ANKS6
752,ANKUB1
753,ANKZF1
754,ANLN
755,ANO1
756,ANO2
757,ANO3
758,ANO4
759,ANO5
760,ANO6
761,ANO7
762,ANO8
763,ANO9
764,ANO10
765,ANOS1
766,ANP32A
767,ANP32B
768,ANP32D
769,ANP32E
770,ANPEP
771,ANTXR1
772,ANTXR2
773,ANTXRL
774,ANXA1
775,ANXA2
776,ANXA2R
777,ANXA3
778,ANXA4
779,ANXA5
780,ANXA6
781,ANXA7
782,ANXA8
783,ANXA8L1
784,ANXA9
785,ANXA10
786,ANXA11
787,ANXA13
788,AOAH
789,AOC1
790,AOC2
791,AOC3
792,AOX1
793,AP1AR
794,AP1B1
795,AP1G1
796,AP1G2
797,AP1M1
798,AP1M2
799,AP1S1
800,AP1S2
801,AP1S3
802,AP2A1
803,AP2A2
804,AP2B1
805,AP2M1
806,AP2S1
807,AP3B1
808,AP3B2
809,AP3D1
810,AP3M1
811,AP3M2
812,AP3S1
813,AP3S2
814,AP4B1
815,AP4E1
816,AP4M1
817,AP4S1
818,AP5B1
819,AP5M1
820,AP5S1
821,AP5Z1
822,APAF1
823,APBA1
824,APBA2
825,APBA3
826,APBB1
827,APBB1IP
828,APBB2
829,APBB3
830,APC
831,APC2
832,APCDD1
833,APCDD1L
834,APCS
835,APEH
836,APELA
837,APEX1
838,APEX2
839,APH1A
840,APH1B
841,API5
842,APIP
843,APLF
844,APLN
845,APLNR
846,APLP1
847,APLP2
848,APMAP
849,APOA1
850,APOA2
851,APOA4
852,APOA5
853,APOB
854,APOBEC1
855,APOBEC2
856,APOBEC3A
857,APOBEC3B
858,APOBEC3C
859,APOBEC3D
860,APOBEC3F
861,APOBEC3G
862,APOBEC3H
863,APOBEC4
864,APOBR
865,APOC1
866,APOC2
867,APOC3
868,APOC4
869,APOD
870,APOE
871,APOF
872,APOH
873,APOL1
874,APOL2
875,APOL3
876,APOL4
877,APOL5
